Team Number,Team Name
15147,Owltrons
15715,Crusader Robotics
15762,Frisch CouGears
15887,Titanium Knights A
15891,Titanium Knights B
18757,Ironmen Rho
19477,Bit by Bit
12991,Awkward Silence
14841,Mighty Meadowbots Blue Team
15569,RoboRattlers
15884,Falcon Dynamics - Foothill HS
18815,LANV Logic
19792,Mighty Meadowbots Silver Team
21517,High Maintenance (Sloan Canyon Robotics)
21726,Laughlin Jr/Sr HS
21794,Laughlin Jr/Sr HS 2
11574,Incognito
15903,Chaos
17506,Wolverines
18203,MCII
20285,Truckee Robotics
21238,Perpetual Motion
21632,Galvanized Gryphons
21707,MinerBots
22317,Truckee 2.0
4250,LIGHTSABERS
5395,Team Clutch
6973,Radical Robotics
6974,Monsters of Mechanics
11240,Blazing Bronc0s
11867,Steel Stallions
17034,Gears of Liberty
17035,Knightmares
22009,Our Robot Overlords
8153,Team #8153
10531,Team #10531
13907,GREMLINS 
13908,FBI
13909,Team #13909
15036,JavaDaHutt
16843,Team #16843
16844,Team #16844
20177,High Velocity
20300,Cove 3
22392,Team #22392
750,Gears in Motion
3965,Twisted Metal
4097,The Pac-Bots
8610,ToborTech
12000,Professional Bodgers
13727,Juntos Unidos
18108,High Voltage
18119,Mostly Operational
19439,Disconnect 
187,Phoenix
267,EMP
4511,Maker Industries
13439,The Atomic Paperclips
15365,Lightning 42
15562,Lightning 43
18127,All Hands on Tech
22506,JagWires
4239,Viridescent Vipers
11703,Tacos In Kool Hats
12179,Tachanka
12180,Chicken Destruction
12215,Lab Rats
14687,Cybernetic Chaos
17082,Lathos
21237,Mtn. Dudez
11719,Iron Hook
14637,Aquanauts
18483,Buckar00s
18484,p0gg3r$
18900,Sea No Evil
19574,LCMS FTC Pirate Robotics: Dynamite Ducks
19592,Knight Owls
19736,Frenship Middle School 3
19737,TI At0mic Mighty Ducks
19738,TI Robo TIGERS w/Fr3d
19739,TIm1nat0rs
19779,M3tal Rebels
20485,LCMS FTC Pirate Robotics: The Core Set
21685,LCMS FTC Pirate Robotics: Red Sea
3734,Iron Giant
6832,Iron Reign
8114,Lewisville HS
8565,TechnicBots
9045,Motorhead
9054,Viridian Robotics
9511,Low Voltage
11563,Robo-Wranglers
15373,Iron Core
18227,Area 52
18738,Moon Mechanics 
19502,The Moment Makers
19990,Marcus de-TECH-tives
19991,Chuckleheads
20039,1 Byte @-a-Time
20040,Work In Progress
20051,Code Red
21138,Kaizenite
21235,SHARK!
21462,Data Not Found
21813,Pro2type
21978,Knight Bytes
22077,Marcus Minions
11322,Grace Ananas FTC
11323,Grace Mangos FTC
11505,The Flaming Galahs
11506,Flaming Tacos
12576,Sparta Bots
12993,RoboKings 
13626,Hydra
14380,Blue BotBuilders 
14466,Robo Rollers
14579,Top Shelf BGS
15145,RoboKings Beta
16337,King G BGS
16492,Woodcrest Tech Team
16637,The Griffins
17101,MRG Kinematics
17556,The New Kids on the Bot
18187,Sheldon1
18228,Red BotBuilders
18248,GCC_FTC1
18500,Heheheha
19050,Form Over Function BGS
19221,Aviation SHS
19450,Team Splitbot BGS
19451,BGS 19451
19480,Ninja-neers
19560,Brisbane Girls Grammar Junior
19636,Bribie Hi-Tech
19637,Morayfield SHS
20667,Padua1
21511,Confusion 360
21532,Senior Creekerbots
4169,H.A.R.I.S.H.
5009,Hélios
10544,Cyber Eagles - Silver
12094,Team TWOSE
12513,Les Scorpions
15254,Facey Robotics
20085,Pumabotics
21339,Salisbury Robotics
21395,AlBaqir Academy
21481,SEES
21872,PowerRangers
22092,Cyber Eagles - Jade
201,BroncoBotsONE
202,BroncoBotsTOO
2844,Valley X Robotics
3666,Hawks Robotics
6174,Automatons
8081,Knights of the Lab Table
9695,BCHS Electric Eagles
10111,Herberger Javelinas
10246,The Midnight Cicadas
10369,Robosapiens
14835,Tie-Dye Samurai
14254,Trivium Knight Lights
16647,Trivium Undefined
18420,Metal Masters
18421,Unscheduled Disassembly
18625,Trivium Knightmares
5921,La Cañada Engineering Club
9881,Golden Gears
10789,Wolfpack
15046,Incognito Robotics
15091,aztec.exe
16179,CookieTech
19653,Gryphons
21380,Beyond Robotics
21444,IOGAOTO (In One Gear and Out the Other)
21525,Blockheads²
21788,Beta Rocks
22124,Shortage
4348,RoboKnights
5011,Bot Squad 5011
8894,Clueless Robotics (Team ADHD^2)
9894,RoboLions
12675,Hermit Social Club
14921,AlphaOmega
17176,Fax Machine
19900,Qualia Robotics
20824,LeXT - Pineapple Something
21325,JuniorKnights
21808,MounTECH Lions
22498,Robo Lions
9432,"Blood, Sweat, & Gears"
9433,Twisted Metal
12765,Phoenix
14996,Omega Squad
17600,MoVal Robotics
20331,BISON BOTS
20353,LIBERTY & JUSTICE
22669,Stella-Fonix
22670,RoboAntics
6371,Machine Kings
6372,Patriotic Robotics
6373,SuperBots
7460,Thunder
7833,DCAC
7834,Drastic Measures
8039,Mechanical Menace
8472,Dinomite
9220,Rancho Rebel Robotics
18819,T-Bird TECH
22342,STAMPEDE MACHINES
5070,N.U.T.S.
9277,Hazmat Robotics Explosives
9800,TechnoSaints A
9930,Robo-Knights
10650,Hazmat Robotics Biohazards
15033,Bug Bytes
15065,A Byte Irrational
16249,Excaliper
17288,Rubber Bandits
17305,Ducks in a Row
